<Ticker>,<Close>,San
A32,33.0,UPCOM
AAA,11.0,HOSE
AAM,11.0,HOSE
AAS,12.2,UPCOM
AAT,5.3,HOSE
AAV,4.5,HNX
ABB,8.8,UPCOM
ABC,18.3,UPCOM
ABI,31.9,UPCOM
ABR,14.9,HOSE
ABS,5.74,HOSE
ACB,24.9,HOSE
ACC,14.0,HOSE
ACE,35.9,UPCOM
ACG,39.6,HOSE
ACL,11.4,HOSE
ACS,6.3,UPCOM
ACV,80.7,UPCOM
ADG,34.5,HOSE
ADS,13.15,HOSE
AFX,8.7,UPCOM
AG1,6.5,UPCOM
AGG,28.2,HOSE
AGM,5.48,HOSE
AGP,26.0,UPCOM
AGR,12.1,HOSE
AIC,10.2,UPCOM
ALT,13.6,HNX
ALV,3.6,UPCOM
AMC,18.0,HNX
AME,10.1,HNX
AMS,10.7,UPCOM
AMV,4.6,HNX
ANT,13.0,UPCOM
ANV,32.7,HOSE
APC,12.15,HOSE
APF,74.5,UPCOM
APG,7.66,HOSE
APH,8.45,HOSE
API,14.8,HNX
APP,4.4,UPCOM
APS,14.7,HNX
ASM,9.01,HOSE
ASP,5.9,HOSE
AST,62.5,HOSE
ATS,11.9,HNX
AVC,47.4,UPCOM
BAB,13.7,HNX
BAF,22.1,HOSE
BAL,7.0,UPCOM
BAX,75.0,HNX
BBC,56.9,HOSE
BBT,8.4,UPCOM
BCA,4.3,UPCOM
BCC,11.8,HNX
BCE,6.03,HOSE
BCF,38.5,HNX
BCG,8.71,HOSE
BCM,77.5,HOSE
BDG,29.0,UPCOM
BFC,17.4,HOSE
BGW,15.0,UPCOM
BHN,43.5,HOSE
BIC,28.55,HOSE
BID,45.0,HOSE
BIG,4.3,UPCOM
BII,1.3,HNX
BIO,20.0,UPCOM
BKG,3.98,HOSE
BLI,15.0,UPCOM
BLT,35.2,UPCOM
BMC,13.6,HOSE
BMG,19.4,UPCOM
BMI,22.6,HOSE
BMP,82.8,HOSE
BMS,8.0,UPCOM
BNA,10.7,HNX
BOT,2.5,UPCOM
BPC,10.8,HNX
BQB,3.3,UPCOM
BRC,11.0,HOSE
BRR,22.0,UPCOM
BSA,16.9,UPCOM
BSG,10.9,UPCOM
BSH,20.5,UPCOM
BSI,29.2,HOSE
BSQ,25.0,UPCOM
BSR,16.5,UPCOM
BTD,23.5,UPCOM
BTN,3.4,UPCOM
BTP,13.8,HOSE
BTS,5.9,HNX
BTV,10.5,UPCOM
BTW,28.1,HNX
BVB,10.4,UPCOM
BVG,1.9,UPCOM
BVH,45.7,HOSE
BVL,9.6,UPCOM
BVS,22.7,HNX
BWE,46.9,HOSE
BWS,27.4,UPCOM
C21,11.2,UPCOM
C32,19.85,HOSE
C47,7.61,HOSE
C4G,12.8,UPCOM
C69,5.7,HNX
C92,2.6,UPCOM
CACB2208,1.28,HOSE
CACB2301,0.3,HOSE
CAG,7.8,HNX
CAN,31.3,HNX
CAP,69.0,HNX
CAR,31.1,UPCOM
CAT,17.9,UPCOM
CBS,36.5,UPCOM
CC1,10.4,UPCOM
CCA,14.0,UPCOM
