,Symnbol,price
0,APC,11.95
1,MWG,38.85
2,FRT,64.8
3,DGW,34.7
4,PSD,14.1
5,PNJ,75.1
6,FPT,79.2
7,ELC,14.2
8,VGI,22.1
9,FOX,59
10,CMG,41.2
11,CTR,65.2
12,GLT,22.5
13,TTN,8.8
14,VNM,70.1
15,MCM,40
16,VLC,16.1
17,MSN,73.9
18,MCH,70.2
19,KDC,64.5
20,HHC,82
21,BBC,56.8
22,HNF,16.5
23,BNA,10.8
24,GCF,14.3
25,PAN,18.35
26,DBC,15.6
27,VSN,21
28,BAF,21.85
29,MML,36
30,PTB,46.05
31,HAX,18.2
32,SVC,34.65
33,CTF,35.8
34,VEA,37
35,PAC,29.5
36,SKG,19.4
37,LTG,28
38,TAR,15
39,NSC,69
40,SSC,28.2
41,NAF,12.3
42,LAF,11.45
43,SAF,45.1
44,APF,74.3
45,MSR,14.4
46,AMC,19.8
47,YBM,6.66
48,HGM,48.5
49,BMC,13.4
50,HBC,8.39
51,CTD,58
52,VCG,19.75
53,HTN,13.4
54,FCN,11.75
55,PC1,28.75
56,C4G,12.8
57,DPG,32.9
58,TCD,8.85
59,DHC,39.3
60,SVI,57
61,CLC,34.5
62,RAL,106.5
63,DQC,18.5
64,SHI,13.3
65,SHE,13.3
66,TLG,53.1
67,VCF,202
68,GDT,29.4
69,ACG,39.6
70,SAV,14.95
71,NHT,12.4
72,VOC,25
73,SAB,165.3
74,SMB,39.5
75,BHN,42.45
76,HAT,26
77,VDL,17.2
78,VTL,12.2
79,LIX,42.7
80,NET,41
81,SKH,25
82,SKV,29.4
83,SCD,18.55
84,IFS,27.4
85,CAN,31.4
86,SGC,63.9
87,BCF,38.5
88,CMN,54.8
89,GVT,86
90,HAP,4.79
91,HHP,11.35
92,MRF,36.9
93,MEF,1.6
94,SBV,10.3
95,CMF,164
96,CLX,14.7
97,BBT,8.4
98,DNM,13.3
99,DDN,9.5
100,BWE,47
101,TDM,40
102,DNW,27.5
103,TV2,27
104,BVH,45.75
105,BMI,23.05
106,ABI,31.8
107,BIC,28.15
108,PVI,48.9
109,PTI,30
110,MIG,18.05
111,DHG,109.5
112,TRA,89
113,DHT,47.1
114,DBD,43.65
115,IMP,55.6
116,OPC,23
117,DP3,108.8
118,NDC,132.2
119,VET,41.6
120,VXP,30.6
121,SPC,14.5
122,BT1,16
123,VPS,9
124,REE,66.4
125,PGV,22.9
126,POW,13.35
127,NT2,30.9
128,GEG,16.1
129,SJD,14.9
130,CHP,24.6
131,TMP,55.4
132,SHP,28.2
133,GHC,27
134,VSH,41.8
135,BCG,8.74
136,HND,15
137,PPC,15.5
138,QTP,15.6
139,BCM,77.1
140,IDC,39.7
141,SNZ,25.4
142,SZL,53
143,LHG,27.1
144,KBC,27.6
145,ITA,4.29
146,SIP,92.9
147,VGC,37
148,D2D,26.9
149,SZC,34.5
150,GMD,49.8
151,PHP,21.2
152,PDN,138.1
153,VSC,28
154,HAH,40.7
155,TCL,37.6
156,CLL,31.45
157,CDN,27.4
158,SGP,12.7
159,DVP,49
160,GIC,12.9
161,TMS,49.4
162,VNL,20.5
163,ILB,33
164,SWC,19.5
165,STG,53.5
166,SFI,33
167,EMS,19.6
